Legs Push,Legs Pull,Shoulder,Lats,Chest,Back,Core,Core
Barbell squat,Barbell RDL,Barbell shoulder press,Pulldown,Barbell bench,Barbell row,core twist machine,suitcase
goblet squat,Trap bar DL,machine shoulder press,assisted pullup,dumbbell bench,one arm dumbbell row,russian twist,incline crunch
curtsy squat,G2OH,Dumbbell shoulder press,cable wide lat pulldown,chest press macnine,rear fly,bicycles,leg raise
leg press machine,Split squat,kneeling shoulder press,assisted chinup,pec fly,Cable row,Windshield wipers,leg pull ups
hack squat machine,single leg Dl,sitting shoulder press,diverging lat pulldown machine,Pushup,seated cable row,OH march,Plank
quad ext machine,hamstring curl,front/lat raise,cable narrow lat pulldown,Incline bench,Back raise,Rev crunch,Skullcrush
Sumo squat,Sumo DL,Arnold press,Chop,Incline fly,Man maker,Plank pulldown,Ab roller
Calf raise,Swing,rear delt raise,Halo,Burpee,BOR,,
Split squat,Straight leg DL,W raise rotat,Cable chop,Converging cable fly,Good morning,,
Step up,Forward lunge,Upright row,Cable lat press back ,,Cable rear fly,,
OH squat,Rear lunge,Seated barbell press,,,Diverging low row,,
Smith machine squat,,High pull ,,,Seated row machine,,
,,Felt raise machine,,,Pec fly machine,,
,,Diverging shoulder press machine,,,,,
